ID,regaty,klub,miejsceWRegatach
881749,50632845,KKZ,5
7487381,50632845,OCC,6
27175509,50632845,YS2,7
48891522,50632845,GAR,8
18960892,50632845,NAV,9
47331930,50632845,NIE,10
11912200,50632845,HAL,11
17114649,50632845,JSG,12
44370217,50632845,ODY,13
83704590,50632845,MEW,14
1029831,50632845,GRP,15
98074506,50632845,PJK,16
30406529,50632845,POW,17
81747541,50632845,ETI,18
95166361,60773118,WOL,1
21204782,60773118,SPO,2
30244959,60773118,OCC,3
48894721,60773118,NIE,4
53721968,60773118,KKZ,5
41377575,60773118,YCB,6
52953161,60773118,PJK,7
29811316,60773118,SLA,8
2584639,60773118,GRP,9
26880413,60773118,GAR,10
53376569,60773118,JSG,11
62603775,60773118,HAL,12
20288109,60773118,NAV,13
23738716,60773118,YS2,14
45236965,60773118,POW,15
72398120,60773118,MEW,16
55194534,60773118,ODY,17
21615752,60773118,ETI,18
6403965,23242296,SLA,1
74242581,23242296,WOL,2
62641958,23242296,NIE,3
57207589,23242296,NAV,4
34086879,23242296,PJK,5
45087430,23242296,GAR,6
13277386,23242296,SPO,7
97728261,23242296,OCC,8
81024118,23242296,JSG,9
5461778,23242296,KKZ,10
16971869,23242296,YS2,11
31819416,23242296,YCB,12
39528226,23242296,POW,13
98481118,23242296,ODY,14
58466118,23242296,HAL,15
73601382,23242296,ETI,16
55367963,23242296,MEW,17
70294194,23242296,GRP,18
24202992,32915456,ONB,1
1978170,32915456,SLA,2
8250935,32915456,ISK,3
20713617,32915456,NIE,4
18598163,32915456,GAR,5
62160239,32915456,BSA,6
65629957,32915456,YKW,7
96687771,32915456,MEC,8
53227584,32915456,YCB,9
79463247,32915456,SZT,10
18179842,32915456,PJK,11
12455216,32915456,JSG,12
40144705,32915456,HAL,13
18312461,32915456,ODY,14
79261379,32915456,ETI,15
79864313,32915456,OKZ,16
84777048,32915456,YS2,17
8510060,32915456,NAV,18
93256865,8389469,ISK,1
26791138,8389469,ONB,2
31639399,8389469,SZT,3
69888929,8389469,BSA,4
62703648,8389469,NIE,5
22630796,8389469,GAR,6
77273235,8389469,HAL,7
62161342,8389469,YS2,8
61375965,8389469,SLA,9
64949619,8389469,OKZ,10
11262995,8389469,ODY,11
44461542,8389469,YCB,12
8450998,8389469,MEC,13
87173751,8389469,YKW,14
6248024,8389469,NAV,15
39450542,8389469,ETI,16
35119850,8389469,JSG,17
39130227,8389469,PJK,18
12200649,16432618,MEC,1
47294542,16432618,GAR,2
70620050,16432618,SZT,3
34721359,16432618,YCB,4
64311717,16432618,ISK,5
92237287,16432618,NAV,6
2712128,16432618,NIE,7
82616649,16432618,ONB,8
3007136,16432618,OKZ,9
40901919,16432618,BSA,10
66616116,16432618,YS2,11
16209996,16432618,PJK,12
33938767,16432618,HAL,13
88895312,16432618,JSG,14
57909026,16432618,ODY,15
91856740,16432618,ETI,16
32816478,16432618,SLA,17
90521328,16432618,YKW,18
80248356,19492707,SZT,1
28924633,19492707,OKZ,2
52429029,19492707,JSG,3
85201091,19492707,NIE,4
78414219,19492707,ONB,5
73528464,19492707,ISK,6
40616352,19492707,MEC,7
1890717,19492707,YCB,8
7068434,19492707,SLA,9
18500168,19492707,GAR,10
68276678,19492707,NAV,11
7602219,19492707,PJK,12
69646484,19492707,BSA,13
19414884,19492707,YKW,14
91929682,19492707,ODY,15
10544041,19492707,YS2,16
9090283,19492707,ETI,17
43177115,19492707,HAL,18
96238813,65285653,MIC,1
6588889,65285653,YZ2,2
73464087,65285653,HAL,3
33038248,65285653,POW,4
45193142,65285653,YKW,5
2575886,65285653,RBP,6
83201153,65285653,SAT,7
59259779,65285653,WTR,8
66095802,51774063,MIC,1
34681739,51774063,YKW,2
66830817,51774063,POW,3
59446993,51774063,HAL,4
20403235,51774063,RBP,5
24503236,51774063,WTR,6
48712708,51774063,YZ2,7
81952654,51774063,SAT,8
7247051,72731202,MIC,1
