Zawodnik,ID_klubu,rok,regaty,numer rundy,poziom_ligi
Rafał Sawicki,BLX,2022,Warszawa,4,Ekstraklasa
Szymon Jabłkowski,OCC,2022,Warszawa,4,1 Liga
Wiktor Plitko,OKZ,2022,Warszawa,4,Ekstraklasa
Aleksander Michalski,RSR,2023,Sopot,1,Ekstraklasa
Bartosz Sadowski,ODY,2023,Sopot,1,1 Liga
Jacek Puchniarz,POL,2023,Sopot,1,Ekstraklasa
Jakub Pawluk,LEG,2023,Sopot,1,Ekstraklasa
Jeremi Dąbrowski,WOL,2023,Sopot,1,1 Liga
Kacper Olszewski,YCG,2023,Sopot,1,Ekstraklasa
Karolina Żurek,RSR,2023,Sopot,1,Ekstraklasa
Krzysztof Małecki,NSO,2023,Sopot,1,Ekstraklasa
Magdalena Kwaśna,YKL,2023,Sopot,1,Ekstraklasa
Maksymilian Burdziej,PGR,2023,Sopot,1,Ekstraklasa
Marcin Banaszek,LEG,2023,Sopot,1,Ekstraklasa
Mateusz Kaczmarowski,SPO,2023,Sopot,1,1 Liga
Mateusz Wiśniewski,AWF,2023,Sopot,1,Ekstraklasa
Max Pawłowski,YCG,2023,Sopot,1,Ekstraklasa
Patryk Kosmalski,PGR,2023,Sopot,1,Ekstraklasa
Patryk Wojtkiewicz,NSO,2023,Sopot,1,Ekstraklasa
Paweł Górski,YCS,2023,Sopot,1,Ekstraklasa
Paweł Leksycki,RSR,2023,Sopot,1,Ekstraklasa
Paweł Nawrocki,YCB,2023,Sopot,1,1 Liga
Przemek Chlebowski,YCS,2023,Sopot,1,Ekstraklasa
Przemysław Witkowski,KKZ,2023,Sopot,1,1 Liga
Rafał Sawicki,YKP,2023,Sopot,1,Ekstraklasa
Szymon Jabłkowski,ONB,2023,Sopot,1,Ekstraklasa
Tomasz Lewandowski,PGR,2023,Sopot,1,Ekstraklasa
Weronika Jaroszek,WOL,2023,Sopot,1,Ekstraklasa
Wiktor Plitko,NSO,2023,Sopot,1,Ekstraklasa
Aleksander Michalski,RSR,2023,Gdynia,2,Ekstraklasa
Bartosz Sadowski,ODY,2023,Gdynia,2,1 Liga
Jacek Puchniarz,POL,2023,Gdynia,2,Ekstraklasa
Jakub Pawluk,LEG,2023,Gdynia,2,Ekstraklasa
Jeremi Dąbrowski,WOL,2023,Gdynia,2,1 Liga
Kacper Olszewski,YCG,2023,Gdynia,2,Ekstraklasa
Karolina Żurek,RSR,2023,Gdynia,2,Ekstraklasa
Krzysztof Małecki,NSO,2023,Gdynia,2,Ekstraklasa
Magdalena Kwaśna,YKL,2023,Gdynia,2,Ekstraklasa
Maksymilian Burdziej,PGR,2023,Gdynia,2,Ekstraklasa
Marcin Banaszek,LEG,2023,Gdynia,2,Ekstraklasa
Mateusz Gwóźdź,PGR,2023,Gdynia,2,Ekstraklasa
Mateusz Kaczmarowski,SPO,2023,Gdynia,2,1 Liga
Mateusz Wiśniewski,AWF,2023,Gdynia,2,Ekstraklasa
Max Pawłowski,YCG,2023,Gdynia,2,Ekstraklasa
Patryk Kosmalski,PGR,2023,Gdynia,2,Ekstraklasa
Patryk Wojtkiewicz,NSO,2023,Gdynia,2,Ekstraklasa
Paweł Górski,YCS,2023,Gdynia,2,Ekstraklasa
Paweł Leksycki,RSR,2023,Gdynia,2,Ekstraklasa
Paweł Nawrocki,YCB,2023,Gdynia,2,1 Liga
Przemek Chlebowski,YCS,2023,Gdynia,2,Ekstraklasa
Przemysław Witkowski,KKZ,2023,Gdynia,2,1 Liga
Rafał Sawicki,YKP,2023,Gdynia,2,Ekstraklasa
Stanisław Konarzewski,GAR,2023,Gdynia,2,1 Liga
Szymon Jabłkowski,ONB,2023,Gdynia,2,2 Liga
Tomasz Lewandowski,PGR,2023,Gdynia,2,Ekstraklasa
Weronika Jaroszek,WOL,2023,Gdynia,2,1 Liga
Wiktor Plitko,NSO,2023,Gdynia,2,Ekstraklasa
Aleksander Michalski,RSR,2023,Olsztyn,3,Ekstraklasa
Bartosz Sadowski,ODY,2023,Olsztyn,3,1 Liga
Jacek Puchniarz,POL,2023,Olsztyn,3,Ekstraklasa
Jakub Pawluk,LEG,2023,Olsztyn,3,Ekstraklasa
Jeremi Dąbrowski,WOL,2023,Olsztyn,3,1 Liga
Kacper Olszewski,YCG,2023,Olsztyn,3,Ekstraklasa
Karolina Żurek,RSR,2023,Olsztyn,3,Ekstraklasa
Krzysztof Małecki,NSO,2023,Olsztyn,3,Ekstraklasa
Magdalena Kwaśna,YKL,2023,Olsztyn,3,Ekstraklasa
Maksymilian Burdziej,PGR,2023,Olsztyn,3,Ekstraklasa
Marcin Banaszek,LEG,2023,Olsztyn,3,Ekstraklasa
Mateusz Kaczmarowski,SPO,2023,Olsztyn,3,1 Liga
Mateusz Wiśniewski,AWF,2023,Olsztyn,3,Ekstraklasa
Max Pawłowski,YCG,2023,Olsztyn,3,Ekstraklasa
Patryk Kosmalski,PGR,2023,Olsztyn,3,Ekstraklasa
Patryk Wojtkiewicz,NSO,2023,Olsztyn,3,Ekstraklasa
Paweł Górski,YCS,2023,Olsztyn,3,Ekstraklasa
Paweł Leksycki,RSR,2023,Olsztyn,3,Ekstraklasa
Przemek Chlebowski,YCS,2023,Olsztyn,3,Ekstraklasa
Przemysław Witkowski,KKZ,2023,Olsztyn,3,1 Liga
Rafał Sawicki,YKP,2023,Olsztyn,3,Ekstraklasa
Szymon Jabłkowski,ONB,2023,Olsztyn,3,2 Liga
Tomasz Lewandowski,PGR,2023,Olsztyn,3,Ekstraklasa
Weronika Jaroszek,WOL,2023,Olsztyn,3,1 Liga
Wiktor Plitko,NSO,2023,Olsztyn,3,Ekstraklasa
Aleksander Michalski,RSR,2023,Sztynort,4,Ekstraklasa
Bartosz Sadowski,ODY,2023,Sztynort,4,1 Liga
Jacek Puchniarz,POL,2023,Sztynort,4,Ekstraklasa
Jakub Pawluk,LEG,2023,Sztynort,4,Ekstraklasa
Jeremi Dąbrowski,WOL,2023,Sztynort,4,1 Liga
Kacper Olszewski,YCG,2023,Sztynort,4,Ekstraklasa
