ID_wynikRegat,regaty,klub,miejsceWRegatach
,97148389,YCS,6
,97148389,LEG,7
,97148389,WAT,8
,97148389,RSR,9
,97148389,YKP,10
,97148389,YKL,11
,97148389,WRO,12
,97148389,AWF,13
,97148389,PGR,14
,97148389,SZT,15
,97148389,POL,16
,97148389,OKZ,17
,97148389,ISK,18
,72722761,WRO,1
,72722761,YKP,2
,72722761,YCG,3
,72722761,WAT,4
,72722761,LEG,5
,72722761,POG,6
,72722761,YKS,7
,72722761,NSO,8
,72722761,AWF,9
,72722761,YCS,10
,72722761,ISK,11
,72722761,PGR,12
,72722761,OKZ,13
,72722761,POL,14
,72722761,HRM,15
,72722761,SZT,16
,72722761,RSR,17
,72722761,YKL,18
,8491828,PGR,1
,8491828,WRO,2
,8491828,YCS,3
,8491828,AWF,4
,8491828,POG,5
,8491828,RSR,6
,8491828,WAT,7
,8491828,YKS,8
,8491828,ISK,9
,8491828,NSO,10
,8491828,HRM,11
,8491828,YKP,12
,8491828,YCG,13
,8491828,YKL,14
,8491828,SZT,15
,8491828,OKZ,16
,8491828,LEG,17
,8491828,POL,18
,9664111,YCS,1
,9664111,YKS,2
,9664111,HRM,3
,9664111,SPO,4
,9664111,POG,5
,9664111,NSO,6
,9664111,YKL,7
,9664111,YCG,8
,9664111,WAT,9
,9664111,RSR,10
,9664111,YKP,11
,9664111,LEG,12
,9664111,WRO,13
,9664111,WOL,14
,9664111,AWF,15
,9664111,KKZ,16
,9664111,OCC,17
,9664111,PGR,18
,70902597,POG,1
,70902597,YKP,2
,70902597,HRM,3
,70902597,YCG,4
,70902597,LEG,5
,70902597,YKS,6
,70902597,YCS,7
,70902597,NSO,8
,70902597,RSR,9
,70902597,WAT,10
,70902597,OCC,11
,70902597,AWF,12
,70902597,YKL,13
,70902597,WOL,14
,70902597,WRO,15
,70902597,SPO,16
,70902597,PGR,17
,70902597,KKZ,18
,94367801,NSO,1
,94367801,WRO,2
,94367801,WAT,3
,94367801,YKP,4
,94367801,YCS,5
,94367801,AWF,6
,94367801,YCG,7
,94367801,SPO,8
,94367801,RSR,9
,94367801,WOL,10
,94367801,LEG,11
,94367801,POG,12
,94367801,HRM,13
,94367801,KKZ,14
,94367801,YKL,15
