Plik,Skrót,Nazwa
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,JKM,Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,JEZ,Yacht Club Jeziorak
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,POG,SEJK Pogon Szczecin
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,WTZ,Warszawskie Towarzystwo Zeglarskie
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,YC2,Yacht Club Sopot 2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,BOL,Sailing Team Boleslawiec
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,DZY,PZKS Dzygit Bialystok
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,ZEG,RKS Lasery Zegrze
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,JEZ,Yacht Club Jeziorak
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,POG,SEJK Pogon Szczecin
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,YC2,Yacht Club Sopot 2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,JKM,Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,DZY,PZKS Dzygit Bialystok
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,WTZ,Warszawskie Towarzystwo Zeglarskie
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,ZEG,RKS Lasery Zegrze
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,BOL,Sailing Team Boleslawiec
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,77R,77racing Club
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,AWF,AZS AWF Gdańsk
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,77R,77racing Club
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,AWF,AZS AWF Gdańsk
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,77R,77racing Club
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,AWF,AZS AWF Gdańsk
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,POW,SKŻ Powidz
