plik,poziom_z_folderu,klub
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,DZYGIT
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,LEGIA
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,YCG
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,TZR
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,YCS AWF
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,OKZ
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,MOS
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,JKKP
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,TZR
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,LEGIA
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,YCS AWF
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,DZYGIT
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,JEZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,OKZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,POG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,JK2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,LEG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,WTZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,ODY
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,YC2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,BOL
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,POG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,JEZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,LEG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,OKZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,JK2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,WTZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,ODY
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,YC2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,BOL
